2018-04-13 09:42:18.886613	LS018	04	
2018-04-13 09:42:19.638381	EST311	MOVED	
2018-04-13 09:42:19.642311	EST312	MOVED	
2018-04-13 09:42:19.668254	ZB032	OK	
2018-04-13 09:42:19.704919	ROS_Task_Step	{'step': '1', 'task': 'Take_Medication', 'id': 'get_cup'}	
2018-04-13 09:42:20.470681	M017	OFF	
2018-04-13 09:42:20.641065	EST318	STILL	
2018-04-13 09:42:20.649229	EST317	STILL	
2018-04-13 09:42:20.706398	MA202	OFF	
2018-04-13 09:42:21.638462	EST311	STILL	
2018-04-13 09:42:21.643927	EST318	MOVED	
2018-04-13 09:42:21.651012	EST317	MOVED	
2018-04-13 09:42:22.640847	EST318	STILL	
2018-04-13 09:42:22.649820	EST317	STILL	
2018-04-13 09:42:24.638457	EST311	MOVED	
2018-04-13 09:42:24.644133	EST318	MOVED	
2018-04-13 09:42:24.651663	EST317	MOVED	
2018-04-13 09:42:24.784398	M017	ON	
2018-04-13 09:42:24.940037	ZB028	OK	
2018-04-13 09:42:25.015106	MA202	ON	
2018-04-13 09:42:26.139020	MA202	OFF	
2018-04-13 09:42:27.061338	MA202	ON	
2018-04-13 09:42:27.640020	EST312	STILL	
2018-04-13 09:42:27.652273	EST315	MOVED	
2018-04-13 09:42:27.654221	EST316	MOVED	
2018-04-13 09:42:27.703617	ROS_Task_Step	{'step': '2', 'task': 'Take_Medication', 'id': 'fill_cup'}	
2018-04-13 09:42:27.778765	M017	OFF	
2018-04-13 09:42:28.234743	MA202	OFF	
2018-04-13 09:42:28.647907	EST317	STILL	
2018-04-13 09:42:28.651954	EST315	STILL	
2018-04-13 09:42:29.638319	EST311	STILL	
2018-04-13 09:42:29.644050	EST318	STILL	
2018-04-13 09:42:29.653070	EST316	STILL	
2018-04-13 09:42:30.641811	EST318	MOVED	
2018-04-13 09:42:30.651983	EST315	MOVED	
2018-04-13 09:42:30.654052	EST316	MOVED	
2018-04-13 09:42:31.646470	EST317	MOVED	
2018-04-13 09:42:31.651316	EST315	STILL	
2018-04-13 09:42:31.653219	EST316	STILL	
2018-04-13 09:42:32.641500	EST318	STILL	
2018-04-13 09:42:33.018639	ROS_Battery	11.710	
2018-04-13 09:42:33.642259	EST318	MOVED	
2018-04-13 09:42:34.298732	ZBL003	OK	
2018-04-13 09:42:34.638279	EST311	MOVED	
2018-04-13 09:42:34.642638	EST312	MOVED	
2018-04-13 09:42:34.810496	ZBL010	OK	
2018-04-13 09:42:34.925662	ZBL006	OK	
2018-04-13 09:42:34.986459	ZBL012	OK	
2018-04-13 09:42:34.991176	ZBL005	OK	
2018-04-13 09:42:35.096230	ZBL002	OK	
2018-04-13 09:42:35.567563	ZBL102	OK	
2018-04-13 09:42:35.572545	ZBL301	OK	
2018-04-13 09:42:35.638360	EST311	STILL	
2018-04-13 09:42:35.642892	EST312	STILL	
2018-04-13 09:42:35.645909	EST318	STILL	
2018-04-13 09:42:35.652708	EST317	STILL	
2018-04-13 09:42:35.662932	M017	ON	
2018-04-13 09:42:35.682982	MA202	ON	
2018-04-13 09:42:35.933710	MA207	ON	
2018-04-13 09:42:36.641133	EST318	MOVED	
2018-04-13 09:42:36.649245	EST317	MOVED	
2018-04-13 09:42:36.956625	ZBL001	OK	
2018-04-13 09:42:37.062169	MA207	OFF	
2018-04-13 09:42:37.518399	ZBL303	OK	
2018-04-13 09:42:37.969886	ZBL004	OK	
2018-04-13 09:42:38.471322	M016	ON	
2018-04-13 09:42:39.218318	M017	OFF	
2018-04-13 09:42:39.453976	MA202	OFF	
2018-04-13 09:42:39.489214	M014	ON	
2018-04-13 09:42:39.490272	LS014	06	
2018-04-13 09:42:39.785047	MA201	ON	
2018-04-13 09:42:40.291951	M016	OFF	
2018-04-13 09:42:42.227503	MA201	OFF	
2018-04-13 09:42:42.307750	M014	OFF	
2018-04-13 09:42:42.308854	LS014	07	
2018-04-13 09:42:45.640128	EST312	MOVED	
2018-04-13 09:42:46.244848	MA207	ON	
2018-04-13 09:42:47.373319	MA207	OFF	
2018-04-13 09:42:48.005227	ZB027	OK	
2018-04-13 09:42:49.254288	ZB026	OK	
2018-04-13 09:42:49.434628	M014	ON	
2018-04-13 09:42:49.640121	EST312	STILL	
2018-04-13 09:42:49.649612	EST317	STILL	
2018-04-13 09:42:50.553482	M014	OFF	
2018-04-13 09:42:53.640969	EST318	STILL	
2018-04-13 09:42:54.676166	M014	ON	
2018-04-13 09:42:55.338095	MA201	ON	
2018-04-13 09:42:57.208943	M016	ON	
2018-04-13 09:42:57.680431	M014	OFF	
2018-04-13 09:42:57.770584	MA201	OFF	
2018-04-13 09:42:58.645815	EST313	MOVED	
2018-04-13 09:42:58.649818	EST314	MOVED	
2018-04-13 09:42:58.682083	ROS_Task_Step	{'step': '3', 'task': 'Take_Medication', 'id': 'get_med'}	
2018-04-13 09:43:00.539569	M016	OFF	
2018-04-13 09:43:01.432083	MA207	ON	
2018-04-13 09:43:01.646197	EST314	STILL	
2018-04-13 09:43:01.858614	M016	ON	
2018-04-13 09:43:02.625552	MA207	OFF	
2018-04-13 09:43:02.645115	EST313	STILL	
2018-04-13 09:43:03.894663	M014	ON	
2018-04-13 09:43:03.895748	LS014	06	
2018-04-13 09:43:03.980102	MA201	ON	
2018-04-13 09:43:04.481582	M016	OFF	
2018-04-13 09:43:06.041449	MA201	OFF	
2018-04-13 09:43:06.302497	M014	OFF	
2018-04-13 09:43:06.303382	LS014	07	
2018-04-13 09:43:09.301919	M014	ON	
2018-04-13 09:43:09.302817	LS014	06	
2018-04-13 09:43:10.641420	EST310	MOVED	
2018-04-13 09:43:10.679764	ROS_Task_Step	{'step': '4', 'task': 'Take_Medication', 'id': 'sit_chair'}	
2018-04-13 09:43:11.643133	EST301	MOVED	
2018-04-13 09:43:12.641224	EST310	STILL	
2018-04-13 09:43:12.646116	EST301	STILL	
2018-04-13 09:43:13.641343	EST310	MOVED	
2018-04-13 09:43:13.646661	EST301	MOVED	
2018-04-13 09:43:14.001008	M014	OFF	
2018-04-13 09:43:14.001896	LS014	07	
2018-04-13 09:43:15.642136	EST310	STILL	
2018-04-13 09:43:15.647290	EST301	STILL	
2018-04-13 09:43:20.641691	EST318	MOVED	
2018-04-13 09:43:20.650205	EST317	MOVED	
2018-04-13 09:43:20.683144	ROS_Task_Step	{'step': '5', 'task': 'Take_Medication', 'id': 'eat_food'}	
2018-04-13 09:43:22.640619	EST318	STILL	
2018-04-13 09:43:25.645847	EST317	STILL	
2018-04-13 09:43:30.677520	MA207	ON	
2018-04-13 09:43:31.801160	MA207	OFF	
2018-04-13 09:43:33.072401	ROS_Battery	11.670	
2018-04-13 09:43:33.646371	EST314	MOVED	
2018-04-13 09:43:33.682802	ROS_Task_Step	{'step': '6', 'task': 'Take_Medication', 'id': 'take_med'}	
2018-04-13 09:43:41.645407	EST313	MOVED	
2018-04-13 09:43:44.644402	EST313	STILL	
2018-04-13 09:43:44.648200	EST314	STILL	
2018-04-13 09:43:47.228993	ZB112	OK	
2018-04-13 09:43:49.637185	EST311	MOVED	
2018-04-13 09:43:49.641366	EST312	MOVED	
2018-04-13 09:43:49.800857	ROS_Task_Step	{'step': '7', 'task': 'Take_Medication', 'id': 'drink_water'}	
2018-04-13 09:43:53.637178	EST311	STILL	
2018-04-13 09:43:54.638867	EST312	STILL	
2018-04-13 09:43:58.990306	M014	ON	
2018-04-13 09:44:00.961438	MA201	ON	
2018-04-13 09:44:01.640300	EST310	MOVED	
2018-04-13 09:44:01.646030	EST301	MOVED	
2018-04-13 09:44:01.680123	ROS_Task_Step	{'step': '8', 'task': 'Take_Medication', 'id': 'stand_up'}	
2018-04-13 09:44:02.075250	MA201	OFF	
2018-04-13 09:44:02.366148	M014	OFF	
2018-04-13 09:44:02.643427	EST301	STILL	
2018-04-13 09:44:03.640269	EST310	STILL	
2018-04-13 09:44:06.643067	EST301	MOVED	
2018-04-13 09:44:07.638837	EST312	MOVED	
2018-04-13 09:44:07.645862	EST301	STILL	
2018-04-13 09:44:07.649381	EST313	MOVED	
2018-04-13 09:44:08.646195	EST314	MOVED	
2018-04-13 09:44:09.633190	ZB111	OK	
2018-04-13 09:44:10.636973	EST311	MOVED	
2018-04-13 09:44:11.638919	EST312	STILL	
2018-04-13 09:44:12.645391	EST313	STILL	
2018-04-13 09:44:15.645356	EST317	MOVED	
2018-04-13 09:44:16.638437	EST312	MOVED	
2018-04-13 09:44:16.642532	EST318	MOVED	
2018-04-13 09:44:16.649022	EST313	MOVED	
2018-04-13 09:44:16.795839	M014	ON	
2018-04-13 09:44:17.512839	MA201	ON	
2018-04-13 09:44:19.463961	M016	ON	
2018-04-13 09:44:20.141023	MA201	OFF	
2018-04-13 09:44:20.356615	M014	OFF	
2018-04-13 09:44:21.640134	EST318	STILL	
2018-04-13 09:44:22.636807	EST311	STILL	
2018-04-13 09:44:22.647511	EST313	STILL	
2018-04-13 09:44:22.650013	EST314	STILL	
2018-04-13 09:44:22.839262	M016	OFF	
2018-04-13 09:44:23.638523	EST312	STILL	
2018-04-13 09:44:25.462259	M016	ON	
2018-04-13 09:44:25.636870	EST311	MOVED	
2018-04-13 09:44:25.641560	EST312	MOVED	
2018-04-13 09:44:26.305072	MA202	ON	
2018-04-13 09:44:26.636971	EST311	STILL	
2018-04-13 09:44:26.641233	EST312	STILL	
2018-04-13 09:44:27.016942	M017	ON	
2018-04-13 09:44:27.639693	EST318	MOVED	
2018-04-13 09:44:27.905113	M016	OFF	
2018-04-13 09:44:29.636376	EST311	MOVED	
2018-04-13 09:44:30.397190	M017	OFF	
2018-04-13 09:44:31.550621	MA202	OFF	
2018-04-13 09:44:32.636719	EST311	STILL	
2018-04-13 09:44:32.650276	EST315	MOVED	
2018-04-13 09:44:32.652549	EST316	MOVED	
2018-04-13 09:44:32.826502	ROS_Task_Step	{'step': '9', 'task': 'Take_Medication', 'id': 'rinse_cup'}	
2018-04-13 09:44:33.134380	ROS_Battery	11.650	
2018-04-13 09:44:33.638206	EST312	MOVED	
2018-04-13 09:44:33.642167	EST318	STILL	
2018-04-13 09:44:33.650734	EST315	STILL	
2018-04-13 09:44:34.646172	EST317	STILL	
2018-04-13 09:44:34.650254	EST315	MOVED	
2018-04-13 09:44:35.636616	EST311	MOVED	
2018-04-13 09:44:35.640987	EST312	STILL	
2018-04-13 09:44:35.643428	EST318	MOVED	
2018-04-13 09:44:35.650313	EST317	MOVED	
2018-04-13 09:44:35.652709	EST315	STILL	
2018-04-13 09:44:35.654577	EST316	STILL	
2018-04-13 09:44:36.636576	EST311	STILL	
2018-04-13 09:44:36.642405	EST318	STILL	
2018-04-13 09:44:36.649828	EST317	STILL	
2018-04-13 09:44:38.636841	EST311	MOVED	
2018-04-13 09:44:38.642054	EST312	MOVED	
2018-04-13 09:44:38.650583	EST317	MOVED	
2018-04-13 09:44:39.639523	EST318	MOVED	
2018-04-13 09:44:40.637699	EST311	STILL	
2018-04-13 09:44:40.989566	MA207	ON	
2018-04-13 09:44:41.637532	EST312	STILL	
2018-04-13 09:44:41.646633	EST317	STILL	
2018-04-13 09:44:42.639511	EST318	STILL	
2018-04-13 09:44:42.870207	MA207	OFF	
2018-04-13 09:44:43.738000	MA202	ON	
2018-04-13 09:44:44.565389	M018	ON	
2018-04-13 09:44:44.639234	EST318	MOVED	
2018-04-13 09:44:45.644799	EST317	MOVED	
2018-04-13 09:44:46.240862	M051	ON	
2018-04-13 09:44:46.241735	LS051	05	
2018-04-13 09:44:47.675345	MA202	OFF	
2018-04-13 09:44:47.705359	D011	OPEN	
2018-04-13 09:44:48.492876	M018	OFF	
2018-04-13 09:44:48.647088	EST330	MOVED	
2018-04-13 09:44:48.896750	ROS_Task_Step	{'step': '10', 'task': 'Take_Medication', 'id': 'throw_garbage'}	
2018-04-13 09:44:49.641387	EST329	MOVED	
2018-04-13 09:44:49.650025	EST330	STILL	
2018-04-13 09:44:50.641146	EST329	STILL	
2018-04-13 09:44:50.734803	M051	OFF	
2018-04-13 09:44:50.735882	LS051	03	
2018-04-13 09:44:51.874342	M051	ON	
2018-04-13 09:44:52.644782	EST317	STILL	
2018-04-13 09:44:52.987919	M051	OFF	
2018-04-13 09:44:55.043981	MA207	ON	
2018-04-13 09:44:55.981859	M051	ON	
2018-04-13 09:44:57.019915	D011	CLOSE	
2018-04-13 09:44:57.496418	MA207	OFF	
2018-04-13 09:44:57.638777	EST318	STILL	
2018-04-13 09:44:57.644057	EST329	MOVED	
2018-04-13 09:44:57.651082	EST330	MOVED	
2018-04-13 09:44:59.642363	EST329	STILL	
2018-04-13 09:44:59.651150	EST330	STILL	
2018-04-13 09:44:59.923998	M051	OFF	
2018-04-13 09:44:59.924888	LS051	05	
2018-04-13 09:45:00.642549	ROS_Task	{'action': 'END', 'task': 'Take_Medication'}	
