2018-04-13 13:25:07.742694	EST311	STILL	
2018-04-13 13:25:07.747038	EST312	STILL	
2018-04-13 13:25:07.749554	EST318	STILL	
2018-04-13 13:25:07.756774	EST317	STILL	
2018-04-13 13:25:07.759401	EST315	STILL	
2018-04-13 13:25:07.760886	EST316	MOVED	
2018-04-13 13:25:08.754383	EST316	STILL	
2018-04-13 13:25:10.753494	EST315	MOVED	
2018-04-13 13:25:10.756733	EST316	MOVED	
2018-04-13 13:25:11.752508	EST315	STILL	
2018-04-13 13:25:12.340702	MA202	ON	
2018-04-13 13:25:13.464181	MA202	OFF	
2018-04-13 13:25:13.742888	EST311	MOVED	
2018-04-13 13:25:14.742606	EST311	STILL	
2018-04-13 13:25:16.092375	MA202	ON	
2018-04-13 13:25:16.338419	M017	ON	
2018-04-13 13:25:16.742506	EST311	MOVED	
2018-04-13 13:25:16.746124	EST312	MOVED	
2018-04-13 13:25:16.748700	EST318	MOVED	
2018-04-13 13:25:16.755381	EST317	MOVED	
2018-04-13 13:25:16.758120	EST316	STILL	
2018-04-13 13:25:18.454593	M016	ON	
2018-04-13 13:25:19.132113	M017	OFF	
2018-04-13 13:25:20.029332	MA202	OFF	
2018-04-13 13:25:20.220045	M014	ON	
2018-04-13 13:25:20.221128	LS014	06	
2018-04-13 13:25:20.340256	MA201	ON	
2018-04-13 13:25:20.691388	M016	OFF	
2018-04-13 13:25:22.602227	MA201	OFF	
2018-04-13 13:25:23.028752	M014	OFF	
2018-04-13 13:25:23.742419	EST311	STILL	
2018-04-13 13:25:23.746436	EST312	STILL	
2018-04-13 13:25:24.742717	EST311	MOVED	
2018-04-13 13:25:24.746481	EST312	MOVED	
2018-04-13 13:25:24.749082	EST318	STILL	
2018-04-13 13:25:24.756262	EST317	STILL	
2018-04-13 13:25:25.176037	ROS_Battery	11.730	
2018-04-13 13:25:26.741782	EST311	STILL	
2018-04-13 13:25:26.746359	EST312	STILL	
2018-04-13 13:25:29.217962	M014	ON	
2018-04-13 13:25:30.652510	MA201	ON	
2018-04-13 13:25:32.508084	M016	ON	
2018-04-13 13:25:32.979788	MA201	OFF	
2018-04-13 13:25:32.980676	LS201	58	
2018-04-13 13:25:33.716915	M014	OFF	
2018-04-13 13:25:33.751795	EST314	MOVED	
2018-04-13 13:25:33.897603	MA202	ON	
2018-04-13 13:25:33.898675	LS202	50	
2018-04-13 13:25:33.912741	ROS_Task_Step	{'step': '3', 'task': 'Take_Medication', 'id': 'get_med'}	
2018-04-13 13:25:34.748993	EST313	MOVED	
2018-04-13 13:25:35.021818	MA202	OFF	
2018-04-13 13:25:35.750242	EST313	STILL	
2018-04-13 13:25:36.095040	M016	OFF	
2018-04-13 13:25:36.636654	M016	ON	
2018-04-13 13:25:36.751153	EST314	STILL	
2018-04-13 13:25:37.749965	EST313	MOVED	
2018-04-13 13:25:38.216532	M014	ON	
2018-04-13 13:25:38.527689	MA201	ON	
2018-04-13 13:25:38.528766	LS201	57	
2018-04-13 13:25:38.744262	EST312	MOVED	
2018-04-13 13:25:39.069812	M016	OFF	
2018-04-13 13:25:39.743895	EST312	STILL	
2018-04-13 13:25:40.168388	ZB041	OK	
2018-04-13 13:25:40.594596	MA201	OFF	
2018-04-13 13:25:40.595973	LS201	58	
2018-04-13 13:25:40.660906	M014	OFF	
2018-04-13 13:25:41.750544	EST313	STILL	
2018-04-13 13:25:46.278344	M014	ON	
2018-04-13 13:25:47.161015	ZBL302	OK	
2018-04-13 13:25:47.746053	EST310	MOVED	
2018-04-13 13:25:47.751529	EST301	MOVED	
2018-04-13 13:25:47.778901	ROS_Task_Step	{'step': '4', 'task': 'Take_Medication', 'id': 'sit_chair'}	
2018-04-13 13:25:47.983797	MA201	ON	
2018-04-13 13:25:47.984699	LS201	57	
2018-04-13 13:25:48.189544	ZBL011	OK	
2018-04-13 13:25:48.580512	M013	ON	
2018-04-13 13:25:48.745151	EST310	STILL	
2018-04-13 13:25:48.750535	EST301	STILL	
2018-04-13 13:25:49.177432	ZBL013	OK	
2018-04-13 13:25:49.257563	ZBL304	OK	
2018-04-13 13:25:49.704042	M013	OFF	
2018-04-13 13:25:49.745330	EST310	MOVED	
2018-04-13 13:25:49.750924	EST301	MOVED	
2018-04-13 13:25:49.894295	ZBL007	OK	
2018-04-13 13:25:50.029859	M014	OFF	
2018-04-13 13:25:50.094940	ZBL008	OK	
2018-04-13 13:25:50.190291	MA201	OFF	
2018-04-13 13:25:50.191372	LS201	58	
2018-04-13 13:25:50.305593	ZBL306	OK	
2018-04-13 13:25:50.747587	EST301	STILL	
2018-04-13 13:25:51.007996	ZBL307	OK	
2018-04-13 13:25:51.494222	ZBL305	OK	
2018-04-13 13:25:51.684950	ZBL009	OK	
2018-04-13 13:25:51.970763	ZBL101	OK	
2018-04-13 13:25:53.745331	EST310	STILL	
2018-04-13 13:25:55.807962	M010	ON	
2018-04-13 13:25:56.745360	EST318	MOVED	
2018-04-13 13:25:56.753437	EST317	MOVED	
2018-04-13 13:25:56.794727	ROS_Task_Step	{'step': '5', 'task': 'Take_Medication', 'id': 'eat_food'}	
2018-04-13 13:25:56.926477	M010	OFF	
2018-04-13 13:25:57.859598	ZB051	OK	
2018-04-13 13:25:57.879454	LS051	05	
2018-04-13 13:25:57.880793	BATP051	22	
2018-04-13 13:25:58.745078	EST318	STILL	
2018-04-13 13:25:59.183852	M010	ON	
2018-04-13 13:25:59.750439	EST317	STILL	
2018-04-13 13:26:00.307405	M010	OFF	
2018-04-13 13:26:05.994773	M014	ON	
2018-04-13 13:26:07.088140	M014	OFF	
2018-04-13 13:26:07.749331	EST313	MOVED	
2018-04-13 13:26:07.753926	EST314	MOVED	
2018-04-13 13:26:07.786912	ROS_Task_Step	{'step': '6', 'task': 'Take_Medication', 'id': 'take_med'}	
2018-04-13 13:26:15.751197	EST314	STILL	
2018-04-13 13:26:17.749470	EST313	STILL	
2018-04-13 13:26:21.741939	EST311	MOVED	
2018-04-13 13:26:21.746150	EST312	MOVED	
2018-04-13 13:26:21.774773	ROS_Task_Step	{'step': '7', 'task': 'Take_Medication', 'id': 'drink_water'}	
2018-04-13 13:26:23.741953	EST311	STILL	
2018-04-13 13:26:23.746590	EST312	STILL	
2018-04-13 13:26:25.236103	ROS_Battery	11.710	
2018-04-13 13:26:25.741856	EST311	MOVED	
2018-04-13 13:26:25.746166	EST312	MOVED	
2018-04-13 13:26:25.941039	ZB030	OK	
2018-04-13 13:26:26.212175	M014	ON	
2018-04-13 13:26:27.340380	M014	OFF	
2018-04-13 13:26:27.743302	EST312	STILL	
2018-04-13 13:26:28.473786	ZB204	OK	
2018-04-13 13:26:28.569162	LS204	10	
2018-04-13 13:26:28.741461	EST311	STILL	
2018-04-13 13:26:30.384607	ZB031	OK	
2018-04-13 13:26:31.272386	M014	ON	
2018-04-13 13:26:32.744768	EST310	MOVED	
2018-04-13 13:26:32.749755	EST301	MOVED	
2018-04-13 13:26:32.776687	ROS_Task_Step	{'step': '8', 'task': 'Take_Medication', 'id': 'stand_up'}	
2018-04-13 13:26:33.158373	M014	OFF	
2018-04-13 13:26:34.812751	MA201	ON	
2018-04-13 13:26:34.813811	LS201	57	
2018-04-13 13:26:34.868036	M014	ON	
2018-04-13 13:26:35.744422	EST310	STILL	
2018-04-13 13:26:35.749431	EST301	STILL	
2018-04-13 13:26:35.936042	MA201	OFF	
2018-04-13 13:26:35.961121	M014	OFF	
2018-04-13 13:26:36.146584	ZB036	OK	
2018-04-13 13:26:36.758645	MA207	ON	
2018-04-13 13:26:36.759549	LS207	54	
2018-04-13 13:26:37.882303	MA207	OFF	
2018-04-13 13:26:38.769780	M014	ON	
2018-04-13 13:26:39.688075	MA201	ON	
2018-04-13 13:26:40.655408	M014	OFF	
2018-04-13 13:26:40.744463	EST318	MOVED	
2018-04-13 13:26:40.753478	EST314	MOVED	
2018-04-13 13:26:40.881058	MA201	OFF	
2018-04-13 13:26:41.568070	MA201	ON	
2018-04-13 13:26:41.742769	EST312	MOVED	
2018-04-13 13:26:42.069539	M014	ON	
2018-04-13 13:26:43.619380	MA201	OFF	
2018-04-13 13:26:43.750030	EST314	STILL	
2018-04-13 13:26:45.741805	EST311	MOVED	
2018-04-13 13:26:45.753283	EST317	MOVED	
2018-04-13 13:26:46.623572	MA201	ON	
2018-04-13 13:26:46.747602	EST313	MOVED	
2018-04-13 13:26:46.752225	EST314	MOVED	
2018-04-13 13:26:47.707128	ZB016	OK	
2018-04-13 13:26:47.727008	M016	ON	
2018-04-13 13:26:47.743000	EST312	STILL	
2018-04-13 13:26:48.333962	M014	OFF	
2018-04-13 13:26:48.363944	MA201	OFF	
2018-04-13 13:26:49.744529	EST318	STILL	
2018-04-13 13:26:49.751230	EST313	STILL	
2018-04-13 13:26:49.754706	EST314	STILL	
2018-04-13 13:26:50.740895	EST311	STILL	
2018-04-13 13:26:50.752618	EST317	STILL	
2018-04-13 13:26:50.871564	M016	OFF	
2018-04-13 13:26:51.433256	M016	ON	
2018-04-13 13:26:51.741942	EST311	MOVED	
2018-04-13 13:26:51.747811	EST318	MOVED	
2018-04-13 13:26:51.754809	EST317	MOVED	
2018-04-13 13:26:51.895017	MA202	ON	
2018-04-13 13:26:51.896102	LS202	51	
2018-04-13 13:26:53.068240	M017	ON	
2018-04-13 13:26:53.742969	EST312	MOVED	
2018-04-13 13:26:54.432658	M016	OFF	
2018-04-13 13:26:55.886916	M017	OFF	
2018-04-13 13:26:56.579360	MA202	OFF	
2018-04-13 13:26:56.742930	EST312	STILL	
2018-04-13 13:26:56.754194	EST315	MOVED	
2018-04-13 13:26:56.813238	ROS_Task_Step	{'step': '9', 'task': 'Take_Medication', 'id': 'rinse_cup'}	
2018-04-13 13:26:57.743593	EST318	STILL	
2018-04-13 13:26:57.753541	EST315	STILL	
2018-04-13 13:26:58.741492	EST311	STILL	
2018-04-13 13:26:58.745777	EST312	MOVED	
2018-04-13 13:26:58.754105	EST317	STILL	
2018-04-13 13:26:58.756814	EST315	MOVED	
2018-04-13 13:26:58.758891	EST316	MOVED	
2018-04-13 13:26:59.744552	EST318	MOVED	
2018-04-13 13:26:59.753648	EST317	MOVED	
2018-04-13 13:26:59.756285	EST315	STILL	
2018-04-13 13:26:59.757911	EST316	STILL	
2018-04-13 13:27:01.509185	M017	ON	
2018-04-13 13:27:01.740798	EST311	MOVED	
2018-04-13 13:27:01.746601	EST318	STILL	
2018-04-13 13:27:02.637641	M017	OFF	
2018-04-13 13:27:02.743672	EST318	MOVED	
2018-04-13 13:27:03.740623	EST311	STILL	
2018-04-13 13:27:03.745000	EST312	STILL	
2018-04-13 13:27:04.282769	ZB112	OK	
2018-04-13 13:27:04.287817	T112	18.5	
2018-04-13 13:27:04.743643	EST318	STILL	
2018-04-13 13:27:04.752258	EST317	STILL	
2018-04-13 13:27:05.260863	M017	ON	
2018-04-13 13:27:05.745306	EST318	MOVED	
2018-04-13 13:27:05.753907	EST317	MOVED	
2018-04-13 13:27:06.148823	MA202	ON	
2018-04-13 13:27:06.695264	M018	ON	
2018-04-13 13:27:08.335902	M051	ON	
2018-04-13 13:27:08.636308	M017	OFF	
2018-04-13 13:27:09.483784	ZB051	OK	
2018-04-13 13:27:09.523992	M051	OFF	
2018-04-13 13:27:09.743564	EST318	STILL	
2018-04-13 13:27:10.065706	M018	OFF	
2018-04-13 13:27:10.095719	MA202	OFF	
2018-04-13 13:27:10.135845	D011	OPEN	
2018-04-13 13:27:10.216369	M051	ON	
2018-04-13 13:27:10.750142	EST317	STILL	
2018-04-13 13:27:11.379482	M018	ON	
2018-04-13 13:27:11.749947	EST317	MOVED	
2018-04-13 13:27:12.498029	M018	OFF	
2018-04-13 13:27:13.750199	EST317	STILL	
2018-04-13 13:27:15.251500	D011	CLOSE	
2018-04-13 13:27:15.411668	ROS_Task_Step	{'step': '10', 'task': 'Take_Medication', 'id': 'throw_garbage'}	
2018-04-13 13:27:15.462179	M051	OFF	
2018-04-13 13:27:15.745585	EST329	MOVED	
2018-04-13 13:27:15.754337	EST330	MOVED	
2018-04-13 13:27:16.400064	M051	ON	
2018-04-13 13:27:16.510312	MA207	ON	
2018-04-13 13:27:17.528521	M051	OFF	
2018-04-13 13:27:17.629336	MA207	OFF	
2018-04-13 13:27:17.745959	EST329	STILL	
2018-04-13 13:27:17.754569	EST330	STILL	
2018-04-13 13:27:18.396137	ROS_Task	{'action': 'END', 'task': 'Take_Medication'}	
